[ 0.45694341, -0.60555412]
[ 0.45693961, -0.58806466]
[ 0.45692621, -0.56496496]
[ 0.45691479, -0.53766929]
[ 0.45612875, -0.50799078]
[ 0.45524568, -0.47604599]
[ 0.44616433, -0.45061229]
[ 0.43633944, -0.42458303]
[ 0.4208853, -0.40315735]
[ 0.40903354, -0.3773506 ]
[ 0.39994605, -0.34820624]
[ 0.38461704, -0.32487418]
[ 0.37283076, -0.29767616]
[ 0.3616448, -0.26963745]
[ 0.35119035, -0.24071642]
[ 0.34245929, -0.20994988]
[ 0.33002773, -0.18283022]
[ 0.32058713, -0.15261706]
[ 0.30428519, -0.12919491]
[ 0.28340265, -0.11030499]
[ 0.26766802, -0.08621132]
[ 0.24668342, -0.06732585]
[ 0.23085433, -0.04325243]
[ 0.21516245, -0.01902885]
[0.20336858, 0.00911379]
[0.18799107, 0.03360873]
[0.16833946, 0.05386097]
[0.15359843, 0.07904702]
[0.14254153, 0.10793536]
[0.13424801, 0.13959985]
[0.12802563, 0.17333713]
[0.12335535, 0.20863651]
[0.1198498,  0.24510578]
[0.11721535, 0.28245125]
[0.11523684, 0.32045723]
[0.11375239, 0.35896097]
[0.11262685, 0.39782654]
[0.11178258, 0.43697559]
[0.11114858, 0.47633628]
[0.11067265, 0.51585637]
[0.11031516, 0.55549584]
[0.11004692, 0.59522531]
[0.10984352, 0.63502017]
[0.10968395, 0.67485929]
[0.09958225, 0.70473901]
[0.082009,   0.72714854]
[0.05896109, 0.74408554]
[0.04132565, 0.76641471]
[0.0276112,  0.78174987]
[0.01600147, 0.79280269]
[0.00725344, 0.80640705]
[6.87882559e-04, 8.07435894e-01]
[-0.0031722,  0.8141959]
[-0.0126884,   0.81685327]
[-0.01019472,  0.81892001]
[-0.01727479,  0.81976688]
[-0.01449,     0.82224868]
[-0.02149417,  0.82336519]
[-0.02064431,  0.82155448]
[-0.02079618,  0.82786796]
[-0.02132875,  0.82419196]
[-0.02000418,  0.82173488]
[-0.02815934,  0.82007229]
[-0.02535856,  0.81986767]
[-0.03232471,  0.82001223]
[-0.02758257,  0.82013767]
[-0.03373485,  0.8202168 ]
[-0.02857819,  0.82024117]
[-0.02655786,  0.81222031]
[-0.02504808,  0.81619466]
[-0.02902949,  0.81567058]
[-0.02736321,  0.81553563]
[-0.03566299,  0.81524152]
[-0.03207858,  0.81491813]
[-0.03923177,  0.81469726]
[-0.03823505,  0.81190325]
[-0.04389631,  0.81331599]
[-0.04091771,  0.81313985]
[-0.04765961,  0.81285284]
[-0.04523891,  0.81255162]
[-0.04350251,  0.82220237]
[-0.03592179,  0.8272315 ]
[-0.02943958,  0.83115785]
[-0.02000102,  0.83065183]
[-0.01281249,  0.83968374]
[-0.00783603,  0.83942632]
[-0.00415607,  0.8490438 ]
[-0.00145195,  0.84648186]
[7.21914843e-04, 8.54220246e-01]
[0.00114758, 0.85134983]
[0.00525791, 0.85537932]
[0.00461632, 0.85467555]
[0.00138568, 0.85482269]
[-0.00855326,  0.85739945]
[-0.0065903,   0.85973482]
[-0.01379745,  0.86150486]
[-0.01068489,  0.86248446]
[-0.01062778,  0.86697172]
[-0.01008706,  0.86096042]
